sentiment,text
positive,"there are no special effects , and no hollywood endings ."
negative,"verbinski substitutes atmosphere for action , tedium for thrills ."
negative,it's hard to imagine that even very small children will be impressed by this tired retread .
negative,serving sara should be served an eviction notice at every theater stuck with it .
negative,"like a fish that's lived too long , austin powers in goldmember has some unnecessary parts and is kinda wrong in places ."
negative,"with a story as bizarre and mysterious as this , you don't want to be worrying about whether the ineffectual broomfield is going to have the courage to knock on that door ."
positive,"it's too harsh to work as a piece of storytelling , but as an intellectual exercise -- an unpleasant debate that's been given the drive of a narrative and that's been acted out -- the believer is nothing less than a provocative piece of work ."
negative,"all that ( powerpuff girls ) charm is present in the movie , but it's spread too thin ."
positive,the first bond movie in ages that isn't fake fun .
positive,it is inspirational in characterizing how people from such diverse cultures share the same human and spiritual needs .
negative,the ring just left me cold and wet like i was out in the seattle drizzle without rainwear .
negative,glizty but formulaic and silly . . . cagney's 'top of the world' has been replaced by the bottom of the barrel .
positive,steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate manhattan denizens--especially the a   holes .
positive,"presents a side of contemporary chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation ."
negative,remember when bond had more glamour than clamor ? no more .
positive,"a fast , funny , highly enjoyable movie ."
positive,. . . either you're willing to go with this claustrophobic concept or you're not .
negative,"a journey that's too random and inconclusive to be compelling , but which hoffman's brilliance almost makes worth taking ."
positive,wise and deadpan humorous .
positive,"a screenplay more ingeniously constructed than "" memento """
positive,"while the story's undeniably hard to follow , iwai's gorgeous visuals seduce ."
positive,"a gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable ."
positive,"sensitively examines general issues of race and justice among the poor , and specifically raises serious questions about the death penalty and asks what good the execution of a mentally challenged woman could possibly do ."
positive,"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs ."
positive,"lee's achievement extends to his supple understanding of the role that brown played in american culture as an athlete , a movie star , and an image of black indomitability ."
positive,an unflinching look at the world's dispossessed .
positive,"like an episode of mtv's undressed , with 20 times the creativity but without any more substance . . . indulgently entertaining but could have and should have been deeper ."
